Project Name,Subscription,Billing Subscription,Project Created,Description,Client,Volume (GB),All Files Total File Count,All Files Monthly File Count,Total Documents Reviewed,Monthly Documents Reviewed,Third Party Users,Max Raw Entity Count
NewProject1,Data Mining,Data Mining,2022/10/18 12:03 PM,,,0,0,0,0,0,18,0
NewProjectWithQ13,Data Mining,Data Mining,2022/08/04 06:49 AM,test,,0,0,0,0,0,18,0
NikhilPST,Data Mining,Data Mining,2022/08/04 06:11 AM,test,test,0,0,0,0,0,18,0
Notification Test Project Do Not Use,Notification,Notification,2023/12/13 03:06 PM,Cypress project,poc,0.08,114,0,0,0,18,0
Notification1Project_DoNotUse,Notification,Notification,2023/12/29 05:39 AM,Notification1Project,Notification1Project,0,4,0,0,0,18,0
Numbers only file v11,Data Mining,Data Mining,2024/08/27 02:01 PM,Numbers only file v11,poc,0,2,0,0,0,18,0
NZ-add_AU_add,Data Mining,Data Mining,2023/01/28 02:46 PM,,,0,0,0,0,0,18,0
O C R ,Data Mining,Data Mining,2023/02/20 09:24 AM,,,0,0,0,0,0,18,0
O365,Data Mining,Data Mining,2023/01/04 11:47 AM,,,0,0,0,0,0,18,0
objectid,Data Mining,Data Mining,2022/11/07 03:21 PM,,,0,0,0,0,0,18,0
OCR Condition JPEG OFF,Data Mining,Data Mining,2023/03/02 12:02 PM,OCR Condition JPEG OFF,poc,0,0,0,0,0,18,0
OCR condition one,Data Mining,Data Mining,2023/02/27 12:58 PM,,,0,0,0,0,0,18,0
OCR image ,Data Mining,Data Mining,2022/05/16 12:43 PM,OCR image ,poc,0,0,0,0,0,18,0
OCR OFF,Data Mining,Data Mining,2023/02/27 07:52 AM,,,0,0,0,0,0,18,0
OCR ON,Data Mining,Data Mining,2023/02/27 10:07 AM,,,0,0,0,0,0,18,0
OCRStuff,Data Mining,Data Mining,2023/11/06 02:20 PM,OCRStuff,,0.36,192,0,0,0,18,0
Office 365,Data Mining,Data Mining,2023/01/04 11:46 AM,,,0,0,0,0,0,18,0
Old ES Apple Files 05Sep1,Data Mining,Data Mining,2024/09/05 05:33 AM,Old ES Apple Files 05Sep1,poc,0,0,0,0,0,18,0
OLD IAR,Data Mining,Data Mining,2024/07/26 12:55 PM,,,0.05,338,0,0,0,18,0
old template 1,Deleted,Deleted,2021/04/09 01:25 PM,old template 1,poc,0,0,0,0,0,18,0
